Tm,W,L,W-L%,GB,RS,RA,pythW-L%,dt
SFG,1,2,0.333,2.0,13,15,0.435,2021-04-04
ARI,1,3,0.25,2.5,12,20,0.282,2021-04-04
COL,1,3,0.25,2.5,21,26,0.404,2021-04-04
ATL,0,3,0.0,3.0,3,9,0.118,2021-04-04
HOU,4,0,1.0,--,35,9,0.923,2021-04-04
BAL,3,0,1.0,0.5,18,5,0.912,2021-04-04
LAA,3,1,0.75,1.0,24,22,0.54,2021-04-04
KCR,2,1,0.667,1.5,28,21,0.629,2021-04-04
MIN,2,1,0.667,1.5,15,8,0.76,2021-04-04
TBR,2,1,0.667,1.5,14,16,0.439,2021-04-04
DET,2,1,0.667,1.5,11,13,0.424,2021-04-04
SEA,2,1,0.667,1.5,15,13,0.565,2021-04-04
TOR,2,1,0.667,1.5,9,8,0.554,2021-04-04
TEX,1,2,0.333,2.5,21,28,0.371,2021-04-04
NYY,1,2,0.333,2.5,8,9,0.446,2021-04-04
CLE,1,2,0.333,2.5,13,11,0.576,2021-04-04
CHW,1,3,0.25,3.0,22,24,0.46,2021-04-04
BOS,0,3,0.0,3.5,5,18,0.088,2021-04-04
OAK,0,4,0.0,4.0,9,35,0.077,2021-04-04
PHI,4,0,1.0,--,14,6,0.825,2021-04-05
LAD,4,1,0.8,0.5,36,24,0.677,2021-04-05
CIN,3,1,0.75,1.0,32,21,0.684,2021-04-05
CHC,3,1,0.75,1.0,17,12,0.654,2021-04-05
SDP,3,2,0.6,1.5,22,15,0.668,2021-04-05
STL,2,2,0.5,2.0,22,28,0.391,2021-04-05
SFG,2,2,0.5,2.0,16,17,0.472,2021-04-05
WSN,0,0,0.0,2.0,0,0,,2021-04-05
NYM,0,1,0.0,2.5,3,5,0.282,2021-04-05
ARI,1,3,0.25,3.0,12,20,0.282,2021-04-05
PIT,1,3,0.25,3.0,12,17,0.346,2021-04-05
MIL,1,3,0.25,3.0,11,20,0.251,2021-04-05
MIA,1,3,0.25,3.0,17,18,0.474,2021-04-05
COL,1,3,0.25,3.0,21,26,0.404,2021-04-05
ATL,0,3,0.0,3.5,3,9,0.118,2021-04-05
HOU,4,1,0.8,--,41,16,0.848,2021-04-05
LAA,4,1,0.8,--,31,28,0.546,2021-04-05
KCR,3,1,0.75,0.5,31,21,0.671,2021-04-05
MIN,3,1,0.75,0.5,30,14,0.801,2021-04-05
BAL,3,1,0.75,0.5,18,12,0.677,2021-04-05
TOR,3,1,0.75,0.5,15,10,0.677,2021-04-05
TBR,2,2,0.5,1.5,16,27,0.277,2021-04-05
DET,2,2,0.5,1.5,17,28,0.286,2021-04-05
NYY,2,2,0.5,1.5,15,9,0.718,2021-04-05
SEA,2,2,0.5,1.5,15,19,0.394,2021-04-05
CHW,2,3,0.4,2.0,28,24,0.57,2021-04-05
TEX,1,3,0.25,2.5,23,34,0.328,2021-04-05
BOS,1,3,0.25,2.5,16,20,0.399,2021-04-05
CLE,1,3,0.25,2.5,13,14,0.466,2021-04-05
OAK,0,5,0.0,4.0,12,45,0.082,2021-04-05
LAD,5,1,0.833,--,41,25,0.712,2021-04-06
CIN,4,1,0.8,0.5,46,22,0.794,2021-04-06
PHI,4,1,0.8,0.5,18,14,0.613,2021-04-06
SDP,4,2,0.667,1.0,25,16,0.694,2021-04-06
WSN,1,0,1.0,1.5,6,5,0.583,2021-04-06
CHC,3,2,0.6,1.5,17,16,0.528,2021-04-06
STL,3,2,0.6,1.5,26,30,0.435,2021-04-06
NYM,1,1,0.5,2.0,11,9,0.591,2021-04-06
ARI,2,3,0.4,2.5,22,28,0.391,2021-04-06
MIL,2,3,0.4,2.5,15,20,0.371,2021-04-06
SFG,2,3,0.4,2.5,17,20,0.426,2021-04-06
PIT,1,4,0.2,3.5,13,31,0.169,2021-04-06
MIA,1,4,0.2,3.5,19,22,0.433,2021-04-06
COL,1,4,0.2,3.5,29,36,0.402,2021-04-06
ATL,0,4,0.0,4.0,8,15,0.24,2021-04-06
HOU,5,1,0.833,--,45,18,0.842,2021-04-06
KCR,3,1,0.75,1.0,31,21,0.671,2021-04-06
LAA,4,2,0.667,1.0,33,32,0.514,2021-04-06
MIN,3,2,0.6,1.5,33,18,0.752,2021-04-06
DET,3,2,0.6,1.5,21,31,0.329,2021-04-06
BAL,3,2,0.6,1.5,20,19,0.523,2021-04-06
NYY,3,2,0.6,1.5,22,11,0.78,2021-04-06
TOR,3,2,0.6,1.5,19,17,0.551,2021-04-06
CHW,3,3,0.5,2.0,38,28,0.636,2021-04-06
TEX,2,3,0.4,2.5,30,38,0.394,2021-04-06
TBR,2,3,0.4,2.5,21,33,0.304,2021-04-06
BOS,2,3,0.4,2.5,22,25,0.442,2021-04-06
SEA,2,3,0.4,2.5,19,29,0.316,2021-04-06
CLE,1,3,0.25,3.0,13,14,0.466,2021-04-06
OAK,0,6,0.0,5.0,13,50,0.078,2021-04-06
CIN,5,1,0.833,--,57,26,0.808,2021-04-07
PHI,5,1,0.833,--,26,16,0.709,2021-04-07
LAD,5,2,0.714,0.5,44,29,0.682,2021-04-07
STL,4,2,0.667,1.0,33,30,0.543,2021-04-07
SDP,4,3,0.571,1.5,27,19,0.655,2021-04-07
MIL,3,3,0.5,2.0,19,22,0.433,2021-04-07
CHC,3,3,0.5,2.0,19,20,0.477,2021-04-07
SFG,3,3,0.5,2.0,20,22,0.457,2021-04-07
WSN,1,2,0.333,2.5,12,14,0.43,2021-04-07
NYM,1,2,0.333,2.5,13,17,0.38,2021-04-07
ARI,2,4,0.333,3.0,22,36,0.289,2021-04-07
COL,2,4,0.333,3.0,37,36,0.513,2021-04-07
ATL,2,4,0.333,3.0,17,21,0.405,2021-04-07
PIT,1,5,0.167,4.0,17,42,0.16,2021-04-07
MIA,1,5,0.167,4.0,19,29,0.316,2021-04-07
HOU,5,1,0.833,--,45,18,0.842,2021-04-07
MIN,4,2,0.667,1.0,36,20,0.746,2021-04-07
BAL,4,2,0.667,1.0,24,22,0.54,2021-04-07
LAA,4,2,0.667,1.0,33,32,0.514,2021-04-07
KCR,3,2,0.6,1.5,33,25,0.624,2021-04-07
TEX,3,3,0.5,2.0,32,39,0.41,2021-04-07
DET,3,3,0.5,2.0,23,34,0.328,2021-04-07
BOS,3,3,0.5,2.0,31,27,0.563,2021-04-07
NYY,3,3,0.5,2.0,25,15,0.718,2021-04-07
SEA,3,3,0.5,2.0,27,33,0.409,2021-04-07
TOR,3,3,0.5,2.0,20,19,0.523,2021-04-07
CHW,3,4,0.429,2.5,42,36,0.57,2021-04-07
CLE,2,3,0.4,2.5,17,16,0.528,2021-04-07
TBR,2,4,0.333,3.0,23,42,0.249,2021-04-07
OAK,1,6,0.143,4.5,17,53,0.111,2021-04-07
CIN,5,1,0.833,--,57,26,0.808,2021-04-08
PHI,5,1,0.833,--,26,16,0.709,2021-04-08
STL,5,2,0.714,0.5,36,31,0.568,2021-04-08
LAD,5,2,0.714,0.5,44,29,0.682,2021-04-08
SDP,4,3,0.571,1.5,27,19,0.655,2021-04-08
CHC,4,3,0.571,1.5,23,22,0.52,2021-04-08
SFG,3,3,0.5,2.0,20,22,0.457,2021-04-08
NYM,2,2,0.5,2.0,16,19,0.422,2021-04-08
MIL,3,4,0.429,2.5,20,25,0.399,2021-04-08
COL,3,4,0.429,2.5,44,39,0.555,2021-04-08
WSN,1,2,0.333,2.5,12,14,0.43,2021-04-08
ATL,2,4,0.333,3.0,17,21,0.405,2021-04-08
ARI,2,5,0.286,3.5,25,43,0.27,2021-04-08
PIT,1,6,0.143,4.5,19,46,0.165,2021-04-08
MIA,1,6,0.143,4.5,21,32,0.316,2021-04-08
HOU,6,1,0.857,--,51,20,0.847,2021-04-08
MIN,5,2,0.714,1.0,46,22,0.794,2021-04-08
LAA,5,2,0.714,1.0,40,37,0.536,2021-04-08
BOS,4,3,0.571,2.0,38,30,0.606,2021-04-08
BAL,4,3,0.571,2.0,27,29,0.467,2021-04-08
KCR,3,3,0.5,2.5,33,31,0.529,2021-04-08
TEX,3,3,0.5,2.5,32,39,0.41,2021-04-08
CHW,4,4,0.5,2.5,48,36,0.629,2021-04-08
DET,3,3,0.5,2.5,23,34,0.328,2021-04-08
NYY,3,3,0.5,2.5,25,15,0.718,2021-04-08
CLE,2,3,0.4,3.0,17,16,0.528,2021-04-08
SEA,3,4,0.429,3.0,29,43,0.327,2021-04-08
TOR,3,4,0.429,3.0,25,26,0.482,2021-04-08
TBR,2,4,0.333,3.5,23,42,0.249,2021-04-08
OAK,1,7,0.125,5.5,19,59,0.112,2021-04-08
CIN,6,1,0.857,--,63,31,0.785,2021-04-09
LAD,6,2,0.75,0.5,45,29,0.691,2021-04-09
PHI,5,2,0.714,1.0,27,24,0.554,2021-04-09
STL,5,2,0.714,1.0,36,31,0.568,2021-04-09
SDP,5,3,0.625,1.5,30,19,0.698,2021-04-09
CHC,4,3,0.571,2.0,23,22,0.52,2021-04-09
SFG,4,3,0.571,2.0,23,23,0.5,2021-04-09
NYM,2,2,0.5,2.5,16,19,0.422,2021-04-09
MIL,3,4,0.429,3.0,20,25,0.399,2021-04-09
ATL,3,4,0.429,3.0,25,22,0.558,2021-04-09
COL,3,5,0.375,3.5,45,42,0.532,2021-04-09
WSN,1,3,0.25,3.5,12,15,0.399,2021-04-09
ARI,2,6,0.25,4.5,30,49,0.289,2021-04-09
PIT,1,6,0.143,5.0,19,46,0.165,2021-04-09
MIA,1,6,0.143,5.0,21,32,0.316,2021-04-09
HOU,6,2,0.75,--,53,26,0.786,2021-04-09
LAA,6,2,0.75,--,47,38,0.596,2021-04-09
MIN,5,2,0.714,0.5,46,22,0.794,2021-04-09
BOS,4,3,0.571,1.5,38,30,0.606,2021-04-09
BAL,4,3,0.571,1.5,27,29,0.467,2021-04-09
KCR,3,3,0.5,2.0,33,31,0.529,2021-04-09
CHW,4,4,0.5,2.0,48,36,0.629,2021-04-09
CLE,3,3,0.5,2.0,21,17,0.595,2021-04-09
TEX,3,4,0.429,2.5,32,42,0.378,2021-04-09
TBR,3,4,0.429,2.5,33,47,0.344,2021-04-09
DET,3,4,0.429,2.5,24,38,0.301,2021-04-09
NYY,3,4,0.429,2.5,30,25,0.583,2021-04-09
SEA,3,4,0.429,2.5,29,43,0.327,2021-04-09
TOR,3,5,0.375,3.0,26,33,0.393,2021-04-09
OAK,2,7,0.222,4.5,25,61,0.164,2021-04-09
LAD,7,2,0.778,--,54,34,0.7,2021-04-10
CIN,6,2,0.75,0.5,66,39,0.724,2021-04-10
SDP,6,3,0.667,1.0,37,23,0.705,2021-04-10
PHI,5,3,0.625,1.5,31,29,0.53,2021-04-10
STL,5,3,0.625,1.5,41,40,0.511,2021-04-10
SFG,5,3,0.625,1.5,27,26,0.517,2021-04-10
MIL,4,4,0.5,2.5,29,30,0.484,2021-04-10
CHC,4,4,0.5,2.5,25,30,0.417,2021-04-10
ATL,4,4,0.5,2.5,30,26,0.565,2021-04-10
NYM,2,3,0.4,3.0,16,22,0.358,2021-04-10
ARI,3,6,0.333,4.0,38,52,0.36,2021-04-10
COL,3,6,0.333,4.0,48,46,0.519,2021-04-10
WSN,1,4,0.2,4.0,17,24,0.347,2021-04-10
PIT,2,6,0.25,4.5,27,48,0.259,2021-04-10
MIA,2,6,0.25,4.5,24,32,0.371,2021-04-10
HOU,6,3,0.667,--,56,33,0.725,2021-04-10
LAA,6,3,0.667,--,48,53,0.455,2021-04-10
MIN,5,3,0.625,0.5,49,26,0.761,2021-04-10
BOS,5,3,0.625,0.5,44,34,0.616,2021-04-10
CLE,4,3,0.571,1.0,32,20,0.703,2021-04-10
KCR,3,3,0.5,1.5,33,31,0.529,2021-04-10
CHW,4,4,0.5,1.5,48,36,0.629,2021-04-10
TBR,4,4,0.5,1.5,37,47,0.392,2021-04-10
BAL,4,4,0.5,1.5,31,35,0.445,2021-04-10
SEA,4,4,0.5,1.5,33,46,0.353,2021-04-10
TOR,4,5,0.444,2.0,41,34,0.585,2021-04-10
TEX,3,5,0.375,2.5,36,49,0.363,2021-04-10
DET,3,5,0.375,2.5,27,49,0.251,2021-04-10
NYY,3,5,0.375,2.5,30,29,0.516,2021-04-10
OAK,3,7,0.3,3.5,32,64,0.22,2021-04-10
LAD,8,2,0.8,--,57,34,0.72,2021-04-11
SDP,7,3,0.7,1.0,39,23,0.724,2021-04-11
CIN,6,3,0.667,1.5,66,46,0.659,2021-04-11
PHI,6,3,0.667,1.5,38,35,0.538,2021-04-11
SFG,6,3,0.667,1.5,31,26,0.58,2021-04-11
MIL,5,4,0.556,2.5,38,33,0.564,2021-04-11
STL,5,4,0.556,2.5,44,49,0.451,2021-04-11
NYM,3,3,0.5,3.0,22,27,0.407,2021-04-11
CHC,4,5,0.444,3.5,26,37,0.344,2021-04-11
ATL,4,5,0.444,3.5,36,33,0.54,2021-04-11
ARI,4,6,0.4,4.0,45,52,0.434,2021-04-11
PIT,3,6,0.333,4.5,34,49,0.339,2021-04-11
COL,3,7,0.3,5.0,48,50,0.481,2021-04-11
WSN,1,5,0.167,5.0,17,27,0.3,2021-04-11
MIA,2,7,0.222,5.5,29,38,0.379,2021-04-11
HOU,6,3,0.667,--,56,33,0.725,2021-04-11
BOS,6,3,0.667,--,58,43,0.634,2021-04-11
LAA,6,3,0.667,--,48,53,0.455,2021-04-11
CLE,5,3,0.625,0.5,37,22,0.721,2021-04-11
KCR,4,3,0.571,1.0,37,34,0.539,2021-04-11
MIN,5,4,0.556,1.0,55,34,0.707,2021-04-11
SEA,5,4,0.556,1.0,41,52,0.393,2021-04-11
CHW,4,5,0.444,2.0,51,40,0.609,2021-04-11
TBR,4,5,0.444,2.0,41,55,0.369,2021-04-11
BAL,4,5,0.444,2.0,40,49,0.408,2021-04-11
NYY,4,5,0.444,2.0,38,33,0.564,2021-04-11
TOR,4,5,0.444,2.0,41,34,0.585,2021-04-11
TEX,3,6,0.333,3.0,36,51,0.346,2021-04-11
DET,3,6,0.333,3.0,29,54,0.243,2021-04-11
OAK,3,7,0.3,3.5,32,64,0.22,2021-04-11
LAD,8,2,0.8,--,57,34,0.72,2021-04-12
SDP,8,3,0.727,0.5,45,25,0.746,2021-04-12
CIN,7,3,0.7,1.0,69,46,0.677,2021-04-12
PHI,6,3,0.667,1.5,38,35,0.538,2021-04-12
MIL,6,4,0.6,2.0,44,36,0.591,2021-04-12
SFG,6,4,0.6,2.0,31,29,0.53,2021-04-12
STL,5,5,0.5,3.0,46,54,0.427,2021-04-12
NYM,3,3,0.5,3.0,22,27,0.407,2021-04-12
CHC,4,6,0.4,4.0,29,43,0.327,2021-04-12
ATL,4,6,0.4,4.0,39,38,0.512,2021-04-12
ARI,4,7,0.364,4.5,50,61,0.41,2021-04-12
WSN,2,5,0.286,4.5,22,29,0.376,2021-04-12
PIT,3,7,0.3,5.0,36,55,0.315,2021-04-12
MIA,3,7,0.3,5.0,34,41,0.415,2021-04-12
COL,3,7,0.3,5.0,48,50,0.481,2021-04-12
LAA,7,3,0.7,--,58,56,0.516,2021-04-12
BOS,6,3,0.667,0.5,58,43,0.634,2021-04-12
HOU,6,4,0.6,1.0,58,39,0.674,2021-04-12
MIN,5,4,0.556,1.5,55,34,0.707,2021-04-12
CLE,5,4,0.556,1.5,40,26,0.687,2021-04-12
SEA,5,4,0.556,1.5,41,52,0.393,2021-04-12
KCR,4,4,0.5,2.0,40,44,0.457,2021-04-12
CHW,5,5,0.5,2.0,55,43,0.611,2021-04-12
TBR,5,5,0.5,2.0,42,55,0.379,2021-04-12
NYY,5,5,0.5,2.0,41,34,0.585,2021-04-12
BAL,4,5,0.444,2.5,40,49,0.408,2021-04-12
DET,4,6,0.4,3.0,35,56,0.297,2021-04-12
TOR,4,6,0.4,3.0,42,37,0.558,2021-04-12
OAK,4,7,0.364,3.5,41,69,0.278,2021-04-12
TEX,3,7,0.3,4.0,36,52,0.338,2021-04-12
LAD,9,2,0.818,--,64,34,0.761,2021-04-13
SDP,8,4,0.667,1.5,49,33,0.673,2021-04-13
CIN,7,4,0.636,2.0,75,53,0.654,2021-04-13
SFG,7,4,0.636,2.0,38,35,0.538,2021-04-13
NYM,5,3,0.625,2.5,30,30,0.5,2021-04-13
MIL,6,5,0.545,3.0,46,39,0.575,2021-04-13
PHI,6,5,0.545,3.0,41,43,0.478,2021-04-13
STL,6,5,0.545,3.0,60,57,0.523,2021-04-13
CHC,5,6,0.455,4.0,32,45,0.349,2021-04-13
PIT,4,7,0.364,5.0,44,59,0.369,2021-04-13
MIA,4,7,0.364,5.0,48,49,0.491,2021-04-13
ATL,4,7,0.364,5.0,47,52,0.454,2021-04-13
ARI,4,8,0.333,5.5,55,68,0.404,2021-04-13
WSN,2,6,0.25,5.5,25,43,0.27,2021-04-13
COL,3,8,0.273,6.0,48,57,0.422,2021-04-13
BOS,7,3,0.7,--,62,45,0.643,2021-04-13
LAA,7,4,0.636,0.5,60,59,0.508,2021-04-13
CLE,6,4,0.6,1.0,42,26,0.706,2021-04-13
KCR,5,4,0.556,1.5,43,46,0.469,2021-04-13
HOU,6,5,0.545,1.5,60,47,0.61,2021-04-13
SEA,6,5,0.545,1.5,51,62,0.412,2021-04-13
MIN,5,5,0.5,2.0,57,38,0.677,2021-04-13
CHW,5,6,0.455,2.5,55,45,0.591,2021-04-13
TBR,5,6,0.455,2.5,45,63,0.351,2021-04-13
DET,5,6,0.455,2.5,43,58,0.366,2021-04-13
BAL,5,6,0.455,2.5,50,59,0.425,2021-04-13
NYY,5,6,0.455,2.5,44,41,0.532,2021-04-13
TOR,5,6,0.455,2.5,49,40,0.592,2021-04-13
OAK,5,7,0.417,3.0,48,74,0.312,2021-04-13
TEX,4,7,0.364,3.5,44,55,0.399,2021-04-13
LAD,10,2,0.833,--,68,36,0.762,2021-04-14
SFG,8,4,0.667,2.0,41,35,0.572,2021-04-14
SDP,8,5,0.615,2.5,50,38,0.623,2021-04-14
NYM,6,3,0.667,2.5,35,31,0.555,2021-04-14
CIN,7,5,0.583,3.0,75,56,0.631,2021-04-14
MIL,7,5,0.583,3.0,53,39,0.637,2021-04-14
PHI,6,6,0.5,4.0,42,48,0.439,2021-04-14
STL,6,6,0.5,4.0,60,63,0.478,2021-04-14
PIT,5,7,0.417,5.0,49,60,0.408,2021-04-14
CHC,5,7,0.417,5.0,32,52,0.291,2021-04-14
MIA,5,7,0.417,5.0,54,54,0.5,2021-04-14
WSN,3,6,0.333,5.5,31,43,0.355,2021-04-14
ARI,4,8,0.333,6.0,55,68,0.404,2021-04-14
ATL,4,8,0.333,6.0,52,58,0.45,2021-04-14
COL,3,9,0.25,7.0,50,61,0.41,2021-04-14
BOS,9,3,0.75,--,72,48,0.677,2021-04-14
KCR,6,4,0.6,2.0,49,47,0.519,2021-04-14
LAA,7,5,0.583,2.0,61,65,0.471,2021-04-14
CLE,6,5,0.545,2.5,42,34,0.595,2021-04-14
SEA,6,5,0.545,2.5,51,62,0.412,2021-04-14
CHW,6,6,0.5,3.0,63,45,0.649,2021-04-14
HOU,6,6,0.5,3.0,64,53,0.585,2021-04-14
DET,6,6,0.5,3.0,49,62,0.394,2021-04-14
TOR,6,6,0.5,3.0,54,44,0.593,2021-04-14
BAL,5,6,0.455,3.5,50,59,0.425,2021-04-14
TEX,5,7,0.417,4.0,49,56,0.439,2021-04-14
MIN,5,7,0.417,4.0,60,48,0.601,2021-04-14
TBR,5,7,0.417,4.0,46,68,0.328,2021-04-14
OAK,5,7,0.417,4.0,48,74,0.312,2021-04-14
NYY,5,7,0.417,4.0,48,46,0.519,2021-04-14
LAD,11,2,0.846,--,75,41,0.751,2021-04-15
SDP,9,5,0.643,2.5,58,41,0.654,2021-04-15
SFG,8,4,0.667,2.5,41,35,0.572,2021-04-15
NYM,6,3,0.667,3.0,35,31,0.555,2021-04-15
CIN,7,5,0.583,3.5,75,56,0.631,2021-04-15
MIL,7,5,0.583,3.5,53,39,0.637,2021-04-15
PHI,6,6,0.5,4.5,42,48,0.439,2021-04-15
STL,6,6,0.5,4.5,60,63,0.478,2021-04-15
CHC,5,7,0.417,5.5,32,52,0.291,2021-04-15
ARI,5,8,0.385,6.0,66,74,0.448,2021-04-15
PIT,5,8,0.385,6.0,52,68,0.38,2021-04-15
MIA,5,8,0.385,6.0,60,61,0.492,2021-04-15
ATL,5,8,0.385,6.0,59,64,0.463,2021-04-15
WSN,3,7,0.3,6.5,37,54,0.334,2021-04-15
COL,3,10,0.231,8.0,55,68,0.404,2021-04-15
BOS,9,4,0.692,--,75,52,0.662,2021-04-15
KCR,7,4,0.636,1.0,56,52,0.534,2021-04-15
SEA,8,5,0.615,1.0,57,65,0.44,2021-04-15
CLE,7,5,0.583,1.5,46,36,0.61,2021-04-15
LAA,7,5,0.583,1.5,61,65,0.471,2021-04-15
HOU,6,6,0.5,2.5,64,53,0.585,2021-04-15
TEX,6,7,0.462,3.0,55,60,0.46,2021-04-15
MIN,6,7,0.462,3.0,64,51,0.602,2021-04-15
CHW,6,7,0.462,3.0,65,49,0.626,2021-04-15
DET,6,7,0.462,3.0,53,70,0.375,2021-04-15
OAK,6,7,0.462,3.0,56,78,0.353,2021-04-15
TOR,6,7,0.462,3.0,59,51,0.566,2021-04-15
NYY,5,7,0.417,3.5,48,46,0.519,2021-04-15
TBR,5,8,0.385,4.0,50,74,0.328,2021-04-15
BAL,5,8,0.385,4.0,53,65,0.408,2021-04-15
LAD,12,2,0.857,--,86,47,0.751,2021-04-16
CIN,8,5,0.615,3.5,85,59,0.661,2021-04-16
SDP,9,6,0.6,3.5,64,52,0.594,2021-04-16
SFG,8,5,0.615,3.5,42,39,0.534,2021-04-16
NYM,6,3,0.667,3.5,35,31,0.555,2021-04-16
